,url,title,us : 0 / kr : 1,hub score,authorities score
0,https://www.nytimes.com/2020/11/03/us/elections/in-florida-trump-shows-strength-with-latino-voters.html?searchResultPosition=1,플로리다에서 트럼프는 라틴계 유권자와의 힘을 보여줍니다.,0,3.855907447228632e-48,1.4074062181096328e-46
1,02100601.20201104103421002,[속보] '최대 승부처' 플로리다 트럼프로 기울었다…트럼프 50.7% 바이든 48.5%,1,3.855907447228632e-48,2.0105803115851901e-47
2,02100601.20201104105637001,[속보] 트럼프 '최대 승부처' 플로리다 승기 굳혔다…트럼프 50.9% 바이든 48.2%,1,3.855907447228632e-48,2.0105803115851901e-47
3,02100701.20201104115258001,"플로리다 승리 눈앞에 둔 트럼프, 라틴계 표심 공략 적중",1,3.855907447228632e-48,2.0105803115851901e-47
4,02100701.20201104145407001,"플로리다 거머쥔 트럼프, 라틴계 표심 공략 적중",1,3.855907447228632e-48,2.0105803115851901e-47
5,02100801.20201104143649001,"CNN ""플로리다 등 경합주 라틴계 유권자, 4년 전보다 트럼프 더 지지""",1,3.855907447228632e-48,2.0105803115851901e-47
6,02100851.20201104100733001,"​[트럼프 vs 바이든] '최대 격전지' 플로리다서 트럼프 ""역전""...80% 이상 개표(상보)",1,3.855907447228632e-48,2.0105803115851901e-47
7,02100851.20201104112757001,"[트럼프 VS 바이든] ""내가 이겼다""...트럼프 플로리다 승리 선언",1,3.855907447228632e-48,2.0105803115851901e-47
8,https://www.nytimes.com/2020/11/03/us/politics/exit-polls.html?searchResultPosition=6,종료 여론 조사는 전염병 대 경제와의 투표가 내려 왔습니다.,0,1.267840454727442e-72,4.627617659331603e-71
9,02100101.20201104174932001,또 빗나간 여론조사…샤이 트럼프·사전투표 위력 못읽었다,1,1.267840454727442e-72,2.3138088296658016e-71
10,08100401.20201103150004001,미국 대선 투표 시작...여론조사에선 바이든 우세,1,1.267840454727442e-72,2.3138088296658016e-71
11,https://www.nytimes.com/2020/11/03/us/politics/trump-ohio-biden.html?searchResultPosition=7,오하이오를 잃으면 트럼프의 길은 훨씬 좁습니다.,0,3.603419300837464e-86,1.3152480446852915e-84
12,02100851.20201105084318001,"[트럼프 vs 바이든] 진흙탕 길 들어선 대선…트럼프 ""미시간·펜실베이니아 개표 중단해라""",1,3.603419300837464e-86,1.3152480446852915e-84
13,https://www.nytimes.com/2020/11/04/us/politics/poll-results.html?searchResultPosition=5,설문 조사는 트럼프 - 다시 과소 평가되었습니다.,0,3.603419300837464e-86,1.3152480446852915e-84
14,02100311.20201103070108001,트럼프 “가짜 여론조사 믿지 마라” vs 바이든 “트럼프 집에 갈 시간”,1,3.603419300837464e-86,1.3152480446852915e-84
15,https://www.nytimes.com/2020/11/04/us/politics/trump-election-courts.html?searchResultPosition=6,"다시 선거 할 길을 좁히고, 트럼프는 법원으로 변합니다.",0,8.451158802247114e-31,3.0846729625378605e-29
16,01100701.20201106090819002,"[속보] 트럼프 ""선거 과정이 대법원에서 끝날 수도 있다""",1,8.451158802247114e-31,1.814513507375212e-30
17,02100101.20201106090859001,"[속보] 트럼프 ""선거 과정이 대법원에서 끝날 수도 있다""<로이터>",1,8.451158802247114e-31,1.814513507375212e-30
18,02100311.20201104174925001,"트럼프vs反트럼프, 흑vs백 극한갈등…美 '선거 후유증'",1,8.451158802247114e-31,1.814513507375212e-30
19,02100311.20201106090815001,[속보] 트럼프 “선거 과정이 대법원에서 끝날 수도 있다”<로이터>,1,8.451158802247114e-31,1.814513507375212e-30
20,02100601.20201104163601001,"[속보] 트럼프 ""우리가 선거 이겼다…선거결과 경이로워""",1,8.451158802247114e-31,1.814513507375212e-30
21,02100701.20201104171626001,"트럼프 ""선거 이겼다…경이로워"" 선언…""사기선거, 대법원 갈 것""",1,8.451158802247114e-31,1.814513507375212e-30
